"1-octene",                               "C8H16",    "111-66-0",    96.3,      13, 25, "caprylene"
"butane",                                 "C4H10",    "106-97-8",    95.9,      5,  25, ""
"propylcyclopentane",                     "C8H16",    "2040-96-2",   90.2,      5,  25, ""
"cycloheptane",                           "C7H14",    "291-64-5",    9.59,      13, 25, ""
"dodecane",                               "C12H26",   "112-40-3",    750.,      5,  25, ""
"propane",                                "C3H8",     "74-98-6",     71.6,      5,  25, ""
"1-octyne",                               "C8H14",    "629-05-0",    7.87,      13, 25, "hexylacetylene"
"2-methyl-1,3-butadiene",                 "C5H8",     "78-79-5",     7.78,      5,  25, "isoprene"
"methane",                                "CH4",      "74-82-8",     67.4,      5,  25, ""
"4-methyl-1-pentene",                     "C6H12",    "691-37-2",    63.2,      5,  25, ""
"chlorotrifluoromethane",                 "CClF3",    "75-72-9",     6.9,       13, 25, "refrigerant 13"
"cyclopentene",                           "C5H8",     "142-29-0",    6.56,      13, 25, ""
"3-methyl-1-butene",                      "C5H10",    "563-45-1",    54.7,      5,  25, ""
"ethane",                                 "C2H6",     "74-84-0",     50.6,      5,  25, ""
"decane",                                 "C10H22",   "124-18-5",    479.,      13, 0,  ""
"isopentane",                             "C5H12",    "78-78-4",     479.,      13, 25, "2-methylbutane"
"methylcyclohexane",                      "C7H14",    "108-87-2",    43.3,      13, 26, ""
"trans-2-heptene",                        "C7H14",    "14686-13-6",  42.2,      13, 25, ""
"1-hexene",                               "C6H12",    "592-41-6",    41.8,      5,  25, ""
"dichlorodifluoromethane",                "CCl2F2",   "75-71-8",     41.,       13, 20, "refrigerant 12"
"1-heptene",                              "C7H14",    "592-76-7",    40.3,      13, 25, ""
"1-pentene",                              "C5H10",    "109-67-1",    40.3,      5,  25, "alpha-amylene"
"cycloheptene",                           "C7H12",    "628-92-2",    4.9,       13, 25, ""
"cyclohexene",                            "C6H10",    "110-83-8",    4.57,      13, 25, "tetrahydrobenzene"
"1-heptyne",                              "C7H12",    "628-71-7",    4.47,      13, 25, ""
"1-hexyne",                               "C6H10",    "693-02-7",    4.14,      13, 25, "butylacetylene"
"3-methylheptane",                        "C8H18",    "589-81-1",    376.,      5,  25, ""
"methylcyclopentane",                     "C6H12",    "96-37-7",     36.7,      5,  25, ""
"cis-1,2-dimethylcyclohexane",            "C8H16",    "2207-01-4",   36.,       5,  25, ""
"2-methylhexane",                         "C7H16",    "591-76-4",    346.,      5,  25, ""
"nonane",                                 "C9H20",    "111-84-2",    333.,      13, 25, ""
"2,4-dimethylpentane",                    "C7H16",    "108-08-7",    323.,      13, 25, ""
"1,1,2-trichloro-1,2,2-trifluoroethane",  "C2Cl3F3",  "76-13-1",     32.,       13, 25, ""
"2,2-dimethylpentane",                    "C7H16",    "590-35-2",    318.,      5,  25, ""
"octane",                                 "C8H18",    "111-65-9",    311.,      13, 25, ""
"2,2,4-trimethylpentane",                 "C8H18",    "540-84-1",    307.,      13, 25, "isooctane"
"1-bromopropane",                         "C3H7Br",   "106-94-5",    3.8,       13, 25, "propyl bromide"
"isobutylbenzene",                        "C10H14",   "538-93-2",    3.32,      11, 25, ""
"chlorodifluoromethane",                  "CHClF2",   "75-45-6",     3.0,       13, 25, "refrigerant 22"
"trans-decahydronaphthalene",             "C10H18",   "493-02-7",    3.,        13, 25, "trans-decalin"
"2-methyl-1-pentene",                     "C6H12",    "763-29-1",    28.1,      5,  25, ""
