0,SMILES,Kh_mean,Kh_first,Varying_1,Varying_2,Varying_3,Varying_4,Varying_5,Varying_6,Varying_7,Varying_8,Varying_9
methane,C,11.123407093038164,11.123407093038164,1,1,0,0,0,0,0,0,0
ethane,CC,10.798676505469219,10.798676505469219,1,1,0,0,0,0,0,0,0
propane,CCC,11.161176044082733,11.161176044082733,0,0,0,0,0,0,0,0,0
butane,CCCC,11.334422289286806,11.334422289286806,1,0,0,0,0,0,0,0,0
2-methylpropane,CC(C)C,11.424626477977936,11.424626477977936,1,1,0,0,0,0,0,0,0
pentane,CCCCC,11.716002975059162,11.716002975059162,0,0,0,0,0,0,0,0,0
2-methylbutane,CCC(C)C,12.021474468836455,12.021474468836455,1,0,0,0,0,0,0,0,0
dimethylpropane,CC(C)(C)C,12.331726017470817,12.331726017470817,0,0,0,0,0,0,0,0,0
hexane,CCCCCC,11.78698625125582,11.78698625125582,1,1,1,0,0,0,0,0,0
2-methylpentane,CCCC(C)C,11.968328358833254,11.968328358833254,0,0,0,0,0,0,0,0,0
3-methylpentane,CCC(C)CC,11.990770196981945,11.990770196981945,0,0,0,0,0,0,0,0,0
"2,2-dimethylbutane",CCC(C)(C)C,12.102154515941818,12.102154515941818,0,0,0,0,0,0,0,0,0
"2,3-dimethylbutane",CC(C)C(C)C,11.816070501684969,11.816070501684969,0,0,0,0,0,0,0,0,0
heptane,CCCCCCC,12.201378307320407,12.201378307320407,1,0,0,0,0,0,0,0,0
2-methylhexane,CCCCC(C)C,12.437511780609512,12.437511780609512,1,0,0,0,0,0,0,0,0
3-methylhexane,CCCC(C)CC,12.508715584536182,12.508715584536182,0,0,0,0,0,0,0,0,0
"2,2-dimethylpentane",CCCC(C)(C)C,12.684108446473173,12.684108446473173,0,0,0,0,0,0,0,0,0
"2,3-dimethylpentane",CCC(C)C(C)C,12.07504438312377,12.07504438312377,0,0,0,0,0,0,0,0,0
"2,4-dimethylpentane",CC(C)CC(C)C,12.647872774124226,12.647872774124226,0,0,0,0,0,0,0,0,0
"3,3-dimethylpentane",CCC(C)(C)CC,12.132850030996476,12.132850030996476,0,0,0,0,0,0,0,0,0
