,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
382,114.104465068,2.0116,0.8571428571428571,0,0,0,0,0,1,0,17.07,0.18222573925324326,0.8925439647299845,0.004198982033337071,0.4509603874223102,0.8257093241352542,196.64511959796016,360.0575867114286,436.0585210643085,2.08495733650024,0.3567263828369335
294,114.104465068,1.5574,1.0,1,0,0,0,0,1,1,20.23,0.2552119134143234,0.9242216642449465,0.004651408500083738,0.3818564067032288,0.7506070648802865,161.37199406733973,317.20551677139287,422.5986293134394,1.986459025453052,0.3506282658113833
456,102.06807956,0.9595,0.8,0,0,0,0,0,2,0,26.3,0.32937036878668885,0.946468568477306,0.008558998365580583,0.3227959864752332,0.940223352222832,109.85203081751655,319.9712790470396,340.31411609866785,1.9417176230636484,0.3586815324829306
491,70.041864812,1.29,0.0,0,0,0,0,0,1,0,9.23,0.6368308209439016,0.9900824201725436,0.032437489531978496,0.1404877263866099,0.8836043331498374,27.240219446660205,171.3286744550486,193.89750369863282,1.6732279617778671,0.07819083742575916
1380,330.0360669580005,2.1218000000000004,0.8,0,0,0,0,0,8,0,71.06,0.2543660665165509,0.9255666505075876,0.0007567613225446514,0.3785847005204585,0.8584598038358175,1134.386468046754,2572.2782338923316,2996.387509815528,3.18511373863283,0.3188554549763659
672,116.058577496,0.0,1.0,0,1,0,0,0,3,0,41.90000000000001,0.4019414981933654,0.9634818909556462,0.00724868797894413,0.2677734971959181,0.8008027452271547,110.47554365056317,330.38788215513495,412.57086607691076,1.916975371274381,0.3301159689665858
1151,333.90010124400015,3.8476000000000012,0.2222222222222222,0,0,1,1,0,2,2,41.13,0.4767380604955048,0.975070098054408,0.0009386315451577252,0.2218970569434553,0.8821044010359562,939.7770675688614,3735.883200588831,4235.193925119697,3.6391116213300227,0.19777463873556075
113,142.172150704,3.858800000000003,1.0,0,0,0,0,0,0,0,0.0,0.4009781828300618,0.9604757247015072,0.004355645990002719,0.2783637588823559,0.9984998055238928,229.24264456195385,822.3007798570238,823.5362443817194,2.5669285442261116,0.4850498844873867
1241,169.973112324,2.5815,0.14285714285714285,0,0,0,1,0,0,0,0.0,0.5878793502690395,0.9863400385386456,0.007132427142024348,0.16472197295923455,0.938768474096494,131.61977758808897,750.1154554399915,799.0420174281319,2.216639395809424,0.13123663994426915
1000,323.8833885600001,6.620600000000001,0.0,0,0,0,2,0,0,0,0.0,0.4547654437261336,0.9715289724738609,0.0010081425294149085,0.2369207792572947,0.9305245615193573,923.008934123037,3625.188497166584,3895.854711505293,3.59634019012358,0.3515358543487618
213,136.12520051200002,3.3089000000000017,0.6,1,0,0,0,0,0,0,0.0,0.27449517614285884,0.9273896097928624,0.004485198430928503,0.3740969281459586,0.9824925474682482,219.0521919149199,575.2978168776184,585.5492933356937,2.2503992267620383,0.5496498923436584
874,287.8600662720001,3.644400000000001,1.0,1,0,0,0,0,0,0,0.0,0.02348072052918941,0.6345432232137668,0.0009086177095858916,0.7728873772248346,0.9577554176841941,1054.0796284068656,1306.2064467945595,1363.820473031521,2.5303171329984844,0.6552202284832954
814,232.082347632,2.7989000000000006,0.3,0,0,2,1,0,1,1,32.34,0.5939085535584796,0.9870154598137008,0.0021546673294399908,0.16062528471180654,0.8928848819859141,414.3957026618952,2303.545539113615,2579.8908522117363,3.377522988243776,0.08938691290049185
118,170.20345083200002,4.9272000000000045,1.0,0,0,0,0,0,0,0,0.0,0.820927938792105,0.9979263813839548,0.0058793390570164895,0.06436565340245952,0.9901313753994306,168.4086197100324,2590.6154827637065,2616.4361085099663,3.972231092399544,0.14384993209818592
1199,97.97348415200001,1.9631,0.0,0,0,0,0,0,0,0,0.0,0.5398565200721446,0.9819454527869684,0.01569695436524433,0.1891642877262925,0.8108357122920108,51.65560741434886,221.417117021018,273.0727244303688,1.6652036213289612,4.4572105607345844e-11
903,112.00797784,2.34,0.0,0,0,0,1,0,0,0,0.0,0.4914627247018751,0.976327684273342,0.008807530956907596,0.21629667801760996,0.7837033220511862,88.98104654818623,322.40320294575815,411.3842494656427,1.911761524840376,1.8424887547772155e-10
1194,151.940740052,2.3524000000000003,1.0,0,0,0,0,0,0,0,0.0,0.14577356130745325,0.8529190807737266,0.002813863408162373,0.5220431415621714,0.6837081322993831,242.978436805462,318.2233803899169,465.4374657204937,1.8320933437263611,0.5961114564488355
287,242.260965708,5.460000000000006,1.0,0,0,0,0,0,1,1,20.23,0.3815240850013597,0.9599518820318844,0.0007418546699009793,0.2801649231853324,0.8560182588996862,1153.8894255581693,3525.603440283832,4118.6077558854795,4.259621958426923,0.2434113383842159
569,93.057849224,1.2688,0.0,0,0,0,1,0,1,1,26.02,0.3505044438051217,0.948608006250502,0.007629035536697098,0.3164535518483672,0.6854363339039697,89.84573877089598,194.6052854844405,283.91445836558887,1.7468530795037334,0.004936239716536142
