,Experimental,Predicted
0,11.123407093038162,[11.12340709]
1,10.798676505469219,[10.79867651]
2,11.161176044082731,[11.16117604]
3,11.334422289286804,[7.71668801]
4,11.424626477977936,[11.42462648]
5,11.716002975059162,[8.83728313]
6,12.021474468836455,[8.83449888]
7,12.331726017470816,[10.34782788]
8,11.78698625125582,[11.78698625]
9,11.968328358833256,[11.96832836]
10,11.990770196981945,[11.9907702]
11,12.102154515941818,[12.10215452]
12,11.816070501684965,[11.8160705]
13,12.20137830732041,[12.20137831]
14,12.437511780609512,[10.12905284]
15,12.50871558453618,[10.44741767]
16,12.684108446473171,[12.31252238]
17,12.07504438312377,[10.0767918]
18,12.647872774124224,[12.64787277]
19,12.132850030996476,[10.64181762]
20,12.454534004828673,[12.454534]
21,12.56974769352373,[12.56974769]
22,12.635803785224613,[12.63580379]
23,12.78652930296292,[12.74344809]
24,12.822258784953993,[11.50619146]
25,12.822258784953993,[12.82225878]
26,12.805399466954341,[12.60405748]
27,12.859999112936835,[12.81553433]
28,12.785891140783114,[12.78589114]
29,12.78652930296292,[12.7865293]
30,12.859999112936835,[12.85245105]
31,12.940041820610373,[12.85999911]
32,12.859999112936835,[12.85999911]
33,12.859999112936835,[12.85999911]
34,12.619798100980566,[11.91475091]
35,12.940041820610373,[12.88643877]
36,12.13989175267506,[12.13989175]
37,12.859999112936835,[12.85999911]
38,12.98260143502917,[12.98260144]
39,12.859999112936835,[12.85999911]
40,12.827957984787837,[12.34563867]
41,13.073573213234894,[11.99553309]
42,13.17365667179188,[12.05454936]
43,13.822210781866607,[13.39036484]
44,13.17365667179188,[12.21441159]
45,13.073573213234894,[12.95579097]
46,13.073573213234894,[12.91681744]
47,13.122363377404328,[13.0296965]
48,13.073573213234894,[12.2372115]
49,13.17365667179188,[12.64337688]
50,13.227723893062155,[13.07363155]
51,13.122363377404328,[13.03912194]
52,13.17365667179188,[13.02331033]
53,13.17365667179188,[13.1428807]
54,13.17365667179188,[13.17365667]
55,13.17365667179188,[13.07148727]
56,13.073573213234894,[12.8431824]
57,12.62760544910515,[12.62760545]
58,13.284882306902105,[13.16339801]
59,13.227723893062155,[13.12236338]
60,13.122363377404328,[13.12236338]
61,13.17365667179188,[13.10334794]
62,13.284882306902105,[12.99958953]
63,13.17365667179188,[13.17365667]
64,13.122363377404328,[13.12236338]
65,13.284882306902105,[12.3433036]
66,13.227723893062155,[12.83644084]
67,13.345506928718539,[12.29294435]
68,13.284882306902105,[13.13830193]
69,13.17365667179188,[12.83223742]
70,13.345506928718539,[13.04474028]
71,13.227723893062155,[13.20108489]
72,13.41004544985611,[13.19762961]
73,13.227723893062155,[12.96533484]
74,12.18302169263407,[12.44183245]
75,13.144004514633124,[11.08009567]
76,13.284882306902105,[13.28488231]
77,13.284882306902105,[12.27132357]
78,13.345506928718539,[13.333382]
79,13.345506928718539,[12.41234797]
80,13.284882306902105,[12.26267938]
81,13.41004544985611,[13.29827801]
82,13.284882306902105,[13.28488231]
83,13.345506928718539,[13.26441391]
84,13.345506928718539,[13.1301993]
85,13.284882306902105,[11.22313369]
86,13.41004544985611,[13.18124707]
87,13.41004544985611,[13.31636498]
88,13.345506928718539,[13.32669363]
89,13.345506928718539,[13.22852482]
90,13.41004544985611,[13.17872642]
91,13.41004544985611,[13.41004545]
92,13.345506928718539,[13.09451777]
93,13.345506928718539,[13.333382]
94,13.345506928718539,[13.34550693]
95,13.479038321343062,[13.32195032]
96,13.479038321343062,[12.34124289]
97,13.345506928718539,[13.32351588]
98,13.41004544985611,[13.36008828]
99,13.41004544985611,[13.25585926]
100,13.227723893062155,[12.96506452]
101,13.41004544985611,[13.37132234]
102,13.553146293496782,[13.38414673]
103,13.479038321343062,[13.34870543]
104,13.479038321343062,[13.3120842]
105,13.41004544985611,[13.41004545]
106,13.345506928718539,[13.32195032]
107,13.479038321343062,[12.53129801]
108,13.345506928718539,[13.33446778]
109,13.284882306902105,[12.03379868]
110,13.41004544985611,[11.67581775]
111,13.63318900117032,[12.60427711]
112,13.41004544985611,[13.36067343]
113,13.227723893062155,[12.36065789]
114,13.815510557964275,[13.81551056]
115,13.345506928718539,[13.19084945]
116,13.479038321343062,[13.01633282]
117,13.31908212170609,[13.31908212]
118,13.580816318641265,[9.68718619]
119,12.356895535264757,[9.77210352]
120,12.511604395288668,[12.5116044]
121,12.430467761953444,[12.43046776]
122,11.144661082389163,[11.14466108]
123,8.622553707074063,[5.26147485]
124,9.104722888725664,[9.10472289]
125,5.683979847360022,[5.68397985]
126,6.660442830739012,[2.70918604]
127,2.5179765510402725,[2.51797655]
128,-20.572442947211822,[1.87327451]
129,9.476639948871988,[8.65336609]
130,9.815670216283172,[9.81567022]
131,9.733309688356224,[9.31173689]
132,8.657388743351264,[9.53535568]
133,9.361826035187027,[9.36182604]
134,10.50928293648255,[10.50928294]
135,10.252731699303688,[10.2527317]
136,8.07893826048508,[9.48775005]
137,10.993382561176636,[10.99338256]
138,10.770988120240851,[10.43611573]
139,10.70468815864768,[10.70468816]
140,11.269722729443854,[11.26972273]
141,11.417615285165903,[11.41761529]
142,11.974960924566787,[10.65780491]
143,11.564218759357779,[10.3613797]
144,11.417615285165903,[10.49104927]
145,12.129111604394044,[10.3953919]
146,8.468403027246806,[8.46840303]
147,10.154916279594534,[8.32173823]
148,7.751725349276666,[7.75172535]
149,8.2170885989659,[8.2170886]
150,9.950606432140905,[9.95060643]
151,9.823793756416052,[9.82379376]
152,9.9691916214225,[9.59694251]
153,9.808177372731805,[9.48310076]
154,10.151948911834628,[10.15194891]
155,9.939015179742212,[9.91903126]
156,10.642206739319688,[9.42278169]
157,10.031320924046012,[9.92538072]
158,10.031320924046012,[9.92538072]
159,10.066075690975806,[10.06607569]
160,10.680016342035124,[10.26743841]
161,9.771383194403057,[9.77138319]
162,10.916127596523065,[10.9161276]
163,10.584945126400127,[10.52318317]
164,10.24621316797594,[10.24621317]
165,11.042921835724492,[11.04292184]
166,10.621475453787934,[9.59070096]
167,10.637456727616328,[10.63745673]
168,11.371924376196509,[11.37192438]
169,11.330603908176274,[11.33060391]
170,12.564382913902968,[12.56438291]
171,9.361757887899406,[8.04511656]
172,8.752003036433187,[8.55857823]
173,9.394303745855456,[9.39430375]
174,9.5724243695854,[9.57242437]
175,8.50499565037388,[8.50499565]
176,8.712121754351005,[8.71212175]
177,8.345697514523618,[8.41245789]
178,8.386011059182492,[8.38601106]
179,8.98799746134546,[8.83297226]
180,7.662777863260169,[7.66277786]
181,6.886138288208933,[8.34667292]
182,6.165817934252759,[7.3483638]
183,8.421883011611913,[8.2421423]
184,7.7999834362734966,[7.79998344]
185,7.105527959765083,[7.10552796]
186,7.5387372932989525,[7.65724832]
187,7.997444071681186,[8.49790961]
188,8.188425323585951,[8.18842532]
189,8.770695556442323,[8.77069556]
190,8.996001732112815,[8.99600173]
191,9.581404053367015,[9.52822602]
192,7.921303932641305,[7.92130393]
193,6.240254745615967,[6.24025475]
194,6.352757718354801,[7.04784333]
195,6.37886013190821,[6.37886013]
196,6.488816452931047,[6.48881645]
197,6.214608098422191,[6.2146081]
198,6.2248614298624805,[6.22486143]
199,5.809142990314027,[5.95797264]
200,6.565749354559863,[6.42689115]
201,6.600984217625481,[5.95694263]
202,5.902345495474775,[6.17462603]
203,6.313967605582455,[6.43330451]
204,6.694587470748543,[6.69458747]
205,7.849363818840582,[7.84936382]
206,6.678965828995347,[5.80736178]
207,6.214608098422191,[5.88643241]
208,6.14909396721899,[6.14909397]
209,6.1925996557138046,[6.82740703]
210,6.571283042360923,[6.57128304]
211,6.883947630046368,[6.53854355]
212,6.990750522522219,[6.30553776]
213,6.18947929810466,[6.33160065]
214,6.214608098422191,[6.2146081]
215,7.222599316759102,[7.07334716]
216,7.283056615446767,[6.92474924]
217,8.111728083308073,[6.60221334]
218,7.032570815856113,[7.03257082]
219,7.0131157946399645,[7.01311579]
220,6.792199418500442,[6.97754727]
221,6.752243394092716,[6.75224339]
222,7.018822126384121,[6.57561207]
223,7.523941418405953,[7.52394142]
224,7.3330922859360355,[7.33309229]
225,3.816712825623821,[3.81671283]
226,2.9187712324178623,[2.91877123]
227,5.599422459331958,[5.59942246]
228,8.947976107508694,[3.16761688]
229,5.713318283173362,[5.94054462]
230,6.571283042360923,[6.57128304]
231,5.952243833954701,[5.95224383]
232,5.715672738988903,[5.75953897]
233,5.64329351137975,[5.84493267]
234,12.092743960223169,[12.09274396]
235,9.469744533346905,[8.30150987]
236,8.790238442908054,[8.79023844]
237,7.9034283493061475,[7.9575774]
238,7.863835245922166,[7.9575774]
239,7.77480405873442,[7.98427736]
240,7.984277363628497,[7.98427736]
241,7.9575774034808155,[7.9575774]
242,9.263479658787404,[9.26347966]
243,8.175796073980514,[8.17579607]
244,7.6773981165740475,[7.79242402]
245,8.706325183167701,[8.36177525]
246,8.622553707074063,[8.35406586]
247,7.824046010856294,[7.82404601]
248,7.824046010856294,[7.82404601]
249,8.111728083308073,[8.11172808]
250,8.219689790346656,[8.21968979]
251,8.740336742730447,[8.74033674]
252,7.1308988302963465,[7.13089883]
253,3.6413980235878474,[3.64139802]
254,1.424183674261842,[3.38908885]
255,2.8302178350764176,[2.83021784]
256,1.83258146374831,[-0.00021992]
257,-1.029619417181158,[-1.02961942]
258,1.8971199848858813,[1.89711998]
259,3.8763102750766163,[3.87631028]
260,3.3524072174927237,[4.22978371]
261,3.6884461698856095,[3.73004288]
262,4.222094580877564,[4.22209458]
263,3.753810610860159,[3.73413666]
264,4.232696184467669,[4.23269618]
265,3.9591783451637674,[3.91540369]
266,3.4705500196275447,[3.48125713]
267,3.8553586627746452,[3.85088548]
268,3.718401267707677,[4.06858548]
269,3.9548170795753856,[3.95481708]
270,3.5819693421872736,[3.58196934]
271,3.882152285864917,[3.36458341]
272,2.831560442987178,[2.83156044]
273,2.19595932408762,[2.19595932]
274,1.4873018033881436,[1.70065689]
275,1.6094379124341005,[1.60943791]
276,2.120263536200091,[2.7260445]
277,2.28009062457939,[2.28009062]
278,0.9942522733438668,[1.00652501]
279,1.9391090910532844,[1.93910909]
280,2.58067095576048,[1.95421682]
281,-0.5877866649021191,[-0.58778666]
282,0.4211457746750585,[0.42114577]
283,-1.0586570862089255,[-0.91034019]
284,-5.703782474656202,[0.09809227]
285,-4.605170185988091,[-4.60517019]
286,0.3454875594551628,[1.13818898]
287,-1.163823701727305,[-1.1638237]
288,-8.536995818712418,[-0.67121096]
289,-0.6418538861723948,[-0.86742694]
290,-1.9844552562787843,[-1.98445526]
291,-1.6716339987770117,[-1.40666287]
292,-1.6246230760156666,[-1.62462308]
293,-3.270514999594952,[-2.08002235]
294,-3.3160008886978147,[-3.31600089]
295,-5.916936730122403,[-5.91693673]
296,-3.6592187590812433,[-1.72679212]
297,-3.428472802747371,[-1.52531404]
298,-5.666899399536398,[-1.29812344]
299,5.7221663367523075,[5.72216634]
300,5.404666513274371,[6.15786082]
301,11.419514179645471,[11.41951418]
302,7.962916386116128,[7.96291639]
303,-0.41146841729836736,[-0.41146842]
304,-0.4117555704756773,[0.48881035]
305,-0.1340229862132334,[0.16122483]
306,0.4623345586137659,[0.46233456]
307,0.008434891102438296,[0.15968107]
308,-0.04505287348114986,[0.34364659]
309,0.3100492873868142,[0.31004929]
310,0.1823646851677757,[0.63682292]
311,0.1594805311234104,[0.49885608]
312,0.4079965052793955,[0.4780358]
313,0.4780358009429996,[0.4780358]
314,0.3566749439387322,[0.52139613]
315,0.3566749439387322,[0.4444385]
316,0.33549718795940603,[1.09609208]
317,1.6607312068216509,[1.66073121]
318,0.5295780511713319,[0.52957805]
319,1.3402408074504957,[1.22453608]
320,1.469675970058942,[1.05564983]
321,1.1711829815029449,[1.17118298]
