0,SMILES,Kh_mean,Kh_first,Varying_1,Varying_2,Varying_3,Varying_4,Varying_5,Varying_6,Varying_7,Varying_8,Varying_9,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
methane,C,11.208749153067762,11.208749153067762,0,0,0,0,0,0,0,0,0,16.031300127999998,0.6361,1.0,0,0,0,0,0,0,0,0.0,8.230898372608594e-16,0.0003152426808966466,0.3118651761875726,0.9999999503110248,0.9999999756097304,3.2065137500580585,3.20651383117871,3.2065139093864485,0.5475444692352984,0.9999999506138358
ethane,CC,10.895309791444902,10.895309791444902,0,0,0,0,0,0,0,0,0,30.046950191999997,1.0262,1.0,0,0,0,0,0,0,0,0.0,0.4347139398423403,0.9666214805249509,0.1575785927656617,0.2562087301161926,0.9999998640552359,6.346038801998669,24.76901523382886,24.76901860104725,0.9639673232431647,0.6195747726507181
propane,CCC,11.151949926778693,11.151949926778693,0,0,0,0,0,0,0,0,0,44.062600255999996,1.4163,1.0,0,0,0,0,0,0,0,0.0,0.4145947672146992,0.9657982749384221,0.05118754487226981,0.25929460489174844,0.8832715376294719,17.255594888044197,58.780150230418776,66.54822183920157,1.2714984250791852,0.45677662701940663
butane,CCCC,11.380747575137468,11.380747575137468,0,0,0,0,0,0,0,0,0,58.078250319999995,1.8064,1.0,0,0,0,0,0,0,0,0.0,0.6175040015204606,0.9886535004314342,0.042838050529310986,0.1502140342467112,0.9365514181382856,21.86260594415871,136.30853271387085,145.54303167340285,1.6163662834420387,0.33466420955384024
2-methylpropane,CC(C)C,11.304096851561392,11.304096851561392,1,1,0,0,0,0,0,0,0,58.078250319999995,1.6622999999999999,1.0,0,0,0,0,0,0,0,0.0,0.1498760811550047,0.8136443795027468,0.009005699820285805,0.5813629018982809,0.5813630138969608,64.55500688435234,64.55501932077635,111.04080888815867,1.437306222313911,0.4368674317973721
pentane,CCCCC,11.694281769464391,11.694281769464391,0,0,0,0,0,0,0,0,0,72.093900384,2.1965000000000003,1.0,0,0,0,0,0,0,0,0.0,0.552198705002735,0.9832605107831434,0.021472902088642602,0.18220529063249546,0.9238869065303913,43.0257122542859,218.16541143174447,236.13865494755544,1.8564619695997862,0.33031160261790965
2-methylbutane,CCC(C)C,11.841429531942264,11.841429531942264,0,0,0,0,0,0,0,0,0,72.093900384,2.0524,1.0,0,0,0,0,0,0,0,0.0,0.28701874785454984,0.9356188749808515,0.011064055305572367,0.3530117856100071,0.7641146638143217,69.06280226468846,149.49047619859812,195.6388004025061,1.6942001635873505,0.3561822076170471
dimethylpropane,CC(C)(C)C,12.24579517774387,12.24579517774387,0,0,0,0,0,0,0,0,0,72.093900384,2.0524,1.0,0,0,0,0,0,0,0,0.0,8.794717271416827e-14,0.0009558993825960743,0.008772048566098095,0.9999995431280808,0.9999995682611668,113.99840763831722,113.9984105034503,113.9984597210123,1.5394793916874143,0.9999993979445085
hexane,CCCCCC,11.62649497882176,11.62649497882176,1,1,1,0,0,0,0,0,0,86.109550448,2.5866000000000007,1.0,0,0,0,0,0,0,0,0.0,0.7853731448966177,0.9969687725640078,0.027424630033804735,0.07780274116132233,0.9640478074579453,35.1526276296023,435.57351690779063,451.8173409432205,2.3135570858176964,0.19850290211143562
2-methylpentane,CCCC(C)C,11.839281264148083,11.839281264148083,0,0,0,0,0,0,0,0,0,86.109550448,2.442500000000001,1.0,0,0,0,0,0,0,0,0.0,0.32374354447079295,0.9461721540138381,0.009884633436147318,0.3236637992868737,0.9033896774745774,91.39334132219342,255.09124382242484,282.3712182936731,1.9101273952782836,0.45284032741703
3-methylpentane,CCC(C)CC,11.849205738446006,11.849205738446006,0,0,0,0,0,0,0,0,0,86.109550448,2.442500000000001,1.0,0,0,0,0,0,0,0,0.0,0.1483277056285275,0.8605625320502506,0.005353315008160277,0.5093448030865354,0.7096295948171267,132.55890858942715,184.68378203072396,260.2537765893451,1.8304651408364123,0.4516345998256377
"2,2-dimethylbutane",CCC(C)(C)C,12.000680510737292,12.000680510737292,0,0,0,0,0,0,0,0,0,86.109550448,2.442500000000001,1.0,0,0,0,0,0,0,0,0.0,0.10591533512554557,0.8154516729250896,0.008429886092950247,0.5788251628287014,0.995376680392815,118.07712102127091,203.0513189477143,203.9944504904236,1.7454896246931413,0.7573109652234125
"2,3-dimethylbutane",CC(C)C(C)C,11.780826269888312,11.780826269888312,0,0,0,0,0,0,0,0,0,86.109550448,2.2984,1.0,0,0,0,0,0,0,0,0.0,0.21697318393207912,0.8972433459494206,0.005484478664293502,0.44153638372107945,0.6544774751421969,119.33266864600068,176.88359681532248,270.2668976910036,1.812926928886237,0.3147477054392638
heptane,CCCCCCC,12.196315557839881,12.196315557839881,1,0,0,0,0,0,0,0,0,100.12520051199999,2.976700000000002,1.0,0,0,0,0,0,0,0,0.0,0.5338122811540468,0.981307561250376,0.009304502480581312,0.1924460190101102,0.9362160900871189,100.61968300196826,489.4970895758522,522.846268888951,2.3565718054944216,0.3204580273103565
2-methylhexane,CCCCC(C)C,12.124223740247174,12.124223740247174,1,0,0,0,0,0,0,0,0,100.12520051199999,2.832600000000001,1.0,0,0,0,0,0,0,0,0.0,0.6153041617695513,0.9885991490060473,0.010973486827668006,0.1505713205910047,0.9087756640805761,82.81557889049762,499.8347786751462,550.0089828889043,2.377332685037431,0.21922473495676686
3-methylhexane,CCCC(C)CC,12.516392890416771,12.516392890416771,0,0,0,0,0,0,0,0,0,100.12520051199999,2.832600000000001,1.0,0,0,0,0,0,0,0,0.0,0.31652601301652294,0.9444226023204071,0.005476582068579311,0.32873385622164025,0.7747887320160308,141.47304328026257,333.43605394772857,430.35738669058185,2.1253405423906897,0.2997845445557864
"2,2-dimethylpentane",CCCC(C)(C)C,12.684108446473173,12.684108446473173,0,0,0,0,0,0,0,0,0,100.12520051199999,2.832600000000001,1.0,0,0,0,0,0,0,0,0.0,0.21545139622722853,0.9045294136942413,0.007020996487068129,0.42641123315638885,0.9560745674676617,136.17362851963273,305.32062212268494,319.3481267171267,1.9484427646002425,0.6038965343956436
"2,3-dimethylpentane",CCC(C)C(C)C,12.07504438312377,12.07504438312377,0,0,0,0,0,0,0,0,0,100.12520051199999,2.6885000000000012,1.0,0,0,0,0,0,0,0,0.0,0.0740367169569499,0.7641621448082999,0.003579226597875076,0.6450241983383096,0.7251703605422868,202.6053228853428,227.77963279990067,314.10499545178004,1.9273905533848872,0.5893754533911609
"2,4-dimethylpentane",CC(C)CC(C)C,12.621588089491839,12.621588089491839,0,0,0,0,0,0,0,0,0,100.12520051199999,2.6885000000000012,1.0,0,0,0,0,0,0,0,0.0,0.34345917174873836,0.9503532329652199,0.00760463278902241,0.31117315532120443,0.9307413227904089,122.3913565075714,366.08136372298105,393.32234935637206,2.0976070745695186,0.458635391453049
